Fecha,Día,Mes,Año,Día Nombre,Mes Nombre,Día de descanso,Holiday
01/01/2024,1,1,2024,Monday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/02/2024,2,1,2024,Tuesday                                                                                                                                                                                                                                                        ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/03/2024,3,1,2024,Wednesday                                                                                                                                                                                                                                                      ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/04/2024,4,1,2024,Thursday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/05/2024,5,1,2024,Friday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/06/2024,6,1,2024,Saturday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/07/2024,7,1,2024,Sunday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Descanso,NA
01/08/2024,8,1,2024,Monday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/09/2024,9,1,2024,Tuesday                                                                                                                                                                                                                                                        ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/10/2024,10,1,2024,Wednesday                                                                                                                                                                                                                                                      ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/11/2024,11,1,2024,Thursday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/12/2024,12,1,2024,Friday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/13/2024,13,1,2024,Saturday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/14/2024,14,1,2024,Sunday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Descanso,NA
01/15/2024,15,1,2024,Monday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/16/2024,16,1,2024,Tuesday                                                                                                                                                                                                                                                        ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/17/2024,17,1,2024,Wednesday                                                                                                                                                                                                                                                      ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/18/2024,18,1,2024,Thursday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/19/2024,19,1,2024,Friday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/20/2024,20,1,2024,Saturday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/21/2024,21,1,2024,Sunday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Descanso,NA
01/22/2024,22,1,2024,Monday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/23/2024,23,1,2024,Tuesday                                                                                                                                                                                                                                                        ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/24/2024,24,1,2024,Wednesday                                                                                                                                                                                                                                                      ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/25/2024,25,1,2024,Thursday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/26/2024,26,1,2024,Friday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/27/2024,27,1,2024,Saturday                                                                                                                                                                                                                                                       ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/28/2024,28,1,2024,Sunday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Descanso,NA
01/29/2024,29,1,2024,Monday                                                                                                                                                                                                                                                         ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/30/2024,30,1,2024,Tuesday                                                                                                                                                                                                                                                        ,January                                                                                                                                                                                                                                                        ,Laborar,NA
01/31/2024,31,1,2024,Wednesday                                                                                                                                                                                                                                                      ,January                                                                                                                                                                                                                                                        ,Laborar,NA
02/01/2024,1,2,2024,Thursday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/02/2024,2,2,2024,Friday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/03/2024,3,2,2024,Saturday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/04/2024,4,2,2024,Sunday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Descanso,NA
02/05/2024,5,2,2024,Monday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/06/2024,6,2,2024,Tuesday                                                                                                                                                                                                                                                        ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/07/2024,7,2,2024,Wednesday                                                                                                                                                                                                                                                      ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/08/2024,8,2,2024,Thursday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/09/2024,9,2,2024,Friday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/10/2024,10,2,2024,Saturday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/11/2024,11,2,2024,Sunday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Descanso,NA
02/12/2024,12,2,2024,Monday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/13/2024,13,2,2024,Tuesday                                                                                                                                                                                                                                                        ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/14/2024,14,2,2024,Wednesday                                                                                                                                                                                                                                                      ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/15/2024,15,2,2024,Thursday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/16/2024,16,2,2024,Friday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/17/2024,17,2,2024,Saturday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/18/2024,18,2,2024,Sunday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Descanso,NA
02/19/2024,19,2,2024,Monday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/20/2024,20,2,2024,Tuesday                                                                                                                                                                                                                                                        ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/21/2024,21,2,2024,Wednesday                                                                                                                                                                                                                                                      ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/22/2024,22,2,2024,Thursday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/23/2024,23,2,2024,Friday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/24/2024,24,2,2024,Saturday                                                                                                                                                                                                                                                       ,February                                                                                                                                                                                                                                                       ,Laborar,NA
02/25/2024,25,2,2024,Sunday                                                                                                                                                                                                                                                         ,February                                                                                                                                                                                                                                                       ,Descanso,NA
