Fase,Dias,Nombre de la Fase,Sub Ensambles
1,1,Corte de skid                                                                                                                                                                                                                                                  ,
1,1,Estructura Corte                                                                                                                                                                                                                                               ,
1,1,Cubo Corte                                                                                                                                                                                                                                                     ,
2,1,Punteo del skid                                                                                                                                                                                                                                                ,
2,2,Soldadura de skid                                                                                                                                                                                                                                              ,
2,2,soldadura de piso                                                                                                                                                                                                                                              ,
2,1,Soldadura de bases y soportes                                                                                                                                                                                                                                  ,
2,2,Soldadura de super estructura                                                                                                                                                                                                                                  ,
2,2,Soldadura de cubo                                                                                                                                                                                                                                              ,
3,1,Charolas para  Dren                                                                                                                                                                                                                                            ,
3,1,Cargar tuberia                                                                                                                                                                                                                                                 ,
4,1,Limpieza y preparacion para pintura                                                                                                                                                                                                                            ,
4,2,Pintura                                                                                                                                                                                                                                                        ,
4,1,Poliuretano                                                                                                                                                                                                                                                    ,
5,1,Caballete                                                                                                                                                                                                                                                      ,
6,6,Instalacion de bases de bombas                                                                                                                                                                                                                                 ,
6,5,Instalacion de bombas                                                                                                                                                                                                                                          ,
6,3,Instalacion de tuberia 12''                                                                                                                                                                                                                                    ,
6,1,Instalacion de bomba chica                                                                                                                                                                                                                                     ,
6,4,Instalacion de tuberia de 8''                                                                                                                                                                                                                                  ,
7,2,Instalacion de paneles laterales                                                                                                                                                                                                                               ,
8,1,Intalacion de Separador de aire                                                                                                                                                                                                                                ,
9,1,Instalacion Pot feeder                                                                                                                                                                                                                                         ,
10,1,Instalacion cupon rack                                                                                                                                                                                                                                         ,
11,2,Make up                                                                                                                                                                                                                                                        ,
12,4,Verificacion de Soldadura                                                                                                                                                                                                                                      ,
13,4,Pruebas de presion                                                                                                                                                                                                                                             ,
14,2,Cierre de paneles cubo                                                                                                                                                                                                                                         ,
15,4,Techos, molduras, puertas.                                                                                                                                                                                                                                     ,
16,12,Aislamiento tuberia                                                                                                                                                                                                                                            ,
17,4,Instrumentacion                                                                                                                                                                                                                                                ,
18,1,Intalacion de tanque de expancion                                                                                                                                                                                                                              ,
18,1,BART                                                                                                                                                                                                                                                           ,
18,1,VFDS                                                                                                                                                                                                                                                           ,
18,1,TX-1                                                                                                                                                                                                                                                           ,
18,1,SBP                                                                                                                                                                                                                                                            ,
18,1,PBP                                                                                                                                                                                                                                                            ,
18,1,CP                                                                                                                                                                                                                                                             ,
18,1,ACU-3                                                                                                                                                                                                                                                          ,
18,1,ACU-4                                                                                                                                                                                                                                                          ,
18,2,WLP LAMPARAS                                                                                                                                                                                                                                                   ,
18,6,Canalizar Fuerza 480                                                                                                                                                                                                                                           ,
18,6,Canalizar Fuerza 120v                                                                                                                                                                                                                                          ,
18,3,Canalizar Control                                                                                                                                                                                                                                              ,
18,3,Cablear                                                                                                                                                                                                                                                        ,
18,1,Megger                                                                                                                                                                                                                                                         ,
18,4,Conectar                                                                                                                                                                                                                                                       ,
18,1,Torquear                                                                                                                                                                                                                                                       ,
19,4,Membrana                                                                                                                                                                                                                                                       ,
20,1,Instalacion de Silicon                                                                                                                                                                                                                                         ,
21,1,Empaque                                                                                                                                                                                                                                                        ,
22,1,Etiquetado                                                                                                                                                                                                                                                     ,
23,1,Retoques                                                                                                                                                                                                                                                       ,
24,1,Envio                                                                                                                                                                                                                                                          ,
